,Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Day of the Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,False,False,False,True,7,1,289,36,33,239.554,30,0,2,1,4
1,False,False,False,False,7,1,118,13,50,239.554,31,0,1,0,0
2,False,False,False,True,7,2,179,51,38,239.554,31,0,0,0,2
3,True,False,False,False,7,3,279,5,39,239.554,24,0,2,0,4
4,False,False,False,True,7,3,289,36,33,239.554,30,0,2,1,2
5,False,False,False,True,7,4,179,51,38,239.554,31,0,0,0,2
6,False,False,False,True,7,4,361,52,28,239.554,27,0,1,4,8
7,False,False,False,True,7,4,260,50,36,239.554,23,0,4,0,4
8,False,False,True,False,7,0,155,12,34,239.554,25,0,2,0,40
9,False,False,False,True,7,0,235,11,37,239.554,29,1,1,1,8
10,True,False,False,False,7,0,260,50,36,239.554,23,0,4,0,8
11,True,False,False,False,7,1,260,50,36,239.554,23,0,4,0,8
12,True,False,False,False,7,2,260,50,36,239.554,23,0,4,0,8
13,True,False,False,False,7,2,179,51,38,239.554,31,0,0,0,1
14,False,False,False,True,7,2,179,51,38,239.554,31,0,0,0,4
15,True,False,False,False,7,4,246,25,41,239.554,23,0,0,0,8
16,False,False,False,True,7,4,179,51,38,239.554,31,0,0,0,2
17,False,False,True,False,7,0,179,51,38,239.554,31,0,0,0,8
18,True,False,False,False,7,3,189,29,33,239.554,25,0,2,2,8
19,False,False,False,True,8,2,248,25,47,205.917,32,0,2,1,2
20,True,False,False,False,8,2,330,16,28,205.917,25,1,0,0,8
21,True,False,False,False,8,0,179,51,38,205.917,31,0,0,0,1
22,True,False,False,False,8,0,361,52,28,205.917,27,0,1,4,40
23,False,False,False,True,8,4,260,50,36,205.917,23,0,4,0,4
24,False,False,True,False,8,0,289,36,33,205.917,30,0,2,1,8
25,False,False,False,True,8,0,361,52,28,205.917,27,0,1,4,7
26,False,False,False,True,8,1,289,36,33,205.917,30,0,2,1,1
27,False,False,False,True,8,2,157,27,29,205.917,22,0,0,0,4
